Path ID,Step 1 Option,Step 2 Option,Step 3 Option,Step 4 Option,Step 1 Description,Step 2 Description,Step 3 Description,Step 4 Description
24,1A,2B,3B,4D,"Standard Plan – Rs.25,000/month (5 years)","Increase repayment (~Rs.40,000), finish early","Take advance salary Rs.100,000 (10 months)",Drop plan to avoid over-debt
25,1A,2B,3C,4A,"Standard Plan – Rs.25,000/month (5 years)","Increase repayment (~Rs.40,000), finish early",Skip one month payment,"Take new loan Rs.20,000/month"
26,1A,2B,3C,4B,"Standard Plan – Rs.25,000/month (5 years)","Increase repayment (~Rs.40,000), finish early",Skip one month payment,Delay Master’s until current loan finished
27,1A,2B,3C,4C,"Standard Plan – Rs.25,000/month (5 years)","Increase repayment (~Rs.40,000), finish early",Skip one month payment,Seek scholarship (minimize loan)
28,1A,2B,3C,4D,"Standard Plan – Rs.25,000/month (5 years)","Increase repayment (~Rs.40,000), finish early",Skip one month payment,Drop plan to avoid over-debt
29,1A,2B,3D,4A,"Standard Plan – Rs.25,000/month (5 years)","Increase repayment (~Rs.40,000), finish early",Take new credit card to cover shortfall,"Take new loan Rs.20,000/month"
30,1A,2B,3D,4B,"Standard Plan – Rs.25,000/month (5 years)","Increase repayment (~Rs.40,000), finish early",Take new credit card to cover shortfall,Delay Master’s until current loan finished
31,1A,2B,3D,4C,"Standard Plan – Rs.25,000/month (5 years)","Increase repayment (~Rs.40,000), finish early",Take new credit card to cover shortfall,Seek scholarship (minimize loan)
32,1A,2B,3D,4D,"Standard Plan – Rs.25,000/month (5 years)","Increase repayment (~Rs.40,000), finish early",Take new credit card to cover shortfall,Drop plan to avoid over-debt
33,1A,2C,3A,4A,"Standard Plan – Rs.25,000/month (5 years)",Invest extra @12% (15 years plan),"Stick to plan, cut non-essentials","Take new loan Rs.20,000/month"
34,1A,2C,3A,4B,"Standard Plan – Rs.25,000/month (5 years)",Invest extra @12% (15 years plan),"Stick to plan, cut non-essentials",Delay Master’s until current loan finished
35,1A,2C,3A,4C,"Standard Plan – Rs.25,000/month (5 years)",Invest extra @12% (15 years plan),"Stick to plan, cut non-essentials",Seek scholarship (minimize loan)
36,1A,2C,3A,4D,"Standard Plan – Rs.25,000/month (5 years)",Invest extra @12% (15 years plan),"Stick to plan, cut non-essentials",Drop plan to avoid over-debt
37,1A,2C,3B,4A,"Standard Plan – Rs.25,000/month (5 years)",Invest extra @12% (15 years plan),"Take advance salary Rs.100,000 (10 months)","Take new loan Rs.20,000/month"
38,1A,2C,3B,4B,"Standard Plan – Rs.25,000/month (5 years)",Invest extra @12% (15 years plan),"Take advance salary Rs.100,000 (10 months)",Delay Master’s until current loan finished
39,1A,2C,3B,4C,"Standard Plan – Rs.25,000/month (5 years)",Invest extra @12% (15 years plan),"Take advance salary Rs.100,000 (10 months)",Seek scholarship (minimize loan)
40,1A,2C,3B,4D,"Standard Plan – Rs.25,000/month (5 years)",Invest extra @12% (15 years plan),"Take advance salary Rs.100,000 (10 months)",Drop plan to avoid over-debt
41,1A,2C,3C,4A,"Standard Plan – Rs.25,000/month (5 years)",Invest extra @12% (15 years plan),Skip one month payment,"Take new loan Rs.20,000/month"
42,1A,2C,3C,4B,"Standard Plan – Rs.25,000/month (5 years)",Invest extra @12% (15 years plan),Skip one month payment,Delay Master’s until current loan finished
43,1A,2C,3C,4C,"Standard Plan – Rs.25,000/month (5 years)",Invest extra @12% (15 years plan),Skip one month payment,Seek scholarship (minimize loan)
44,1A,2C,3C,4D,"Standard Plan – Rs.25,000/month (5 years)",Invest extra @12% (15 years plan),Skip one month payment,Drop plan to avoid over-debt
45,1A,2C,3D,4A,"Standard Plan – Rs.25,000/month (5 years)",Invest extra @12% (15 years plan),Take new credit card to cover shortfall,"Take new loan Rs.20,000/month"
46,1A,2C,3D,4B,"Standard Plan – Rs.25,000/month (5 years)",Invest extra @12% (15 years plan),Take new credit card to cover shortfall,Delay Master’s until current loan finished
47,1A,2C,3D,4C,"Standard Plan – Rs.25,000/month (5 years)",Invest extra @12% (15 years plan),Take new credit card to cover shortfall,Seek scholarship (minimize loan)
48,1A,2C,3D,4D,"Standard Plan – Rs.25,000/month (5 years)",Invest extra @12% (15 years plan),Take new credit card to cover shortfall,Drop plan to avoid over-debt
49,1A,2D,3A,4A,"Standard Plan – Rs.25,000/month (5 years)","Keep minimum repayment, increase lifestyle spending","Stick to plan, cut non-essentials","Take new loan Rs.20,000/month"
50,1A,2D,3A,4B,"Standard Plan – Rs.25,000/month (5 years)","Keep minimum repayment, increase lifestyle spending","Stick to plan, cut non-essentials",Delay Master’s until current loan finished
51,1A,2D,3A,4C,"Standard Plan – Rs.25,000/month (5 years)","Keep minimum repayment, increase lifestyle spending","Stick to plan, cut non-essentials",Seek scholarship (minimize loan)
52,1A,2D,3A,4D,"Standard Plan – Rs.25,000/month (5 years)","Keep minimum repayment, increase lifestyle spending","Stick to plan, cut non-essentials",Drop plan to avoid over-debt
53,1A,2D,3B,4A,"Standard Plan – Rs.25,000/month (5 years)","Keep minimum repayment, increase lifestyle spending","Take advance salary Rs.100,000 (10 months)","Take new loan Rs.20,000/month"
54,1A,2D,3B,4B,"Standard Plan – Rs.25,000/month (5 years)","Keep minimum repayment, increase lifestyle spending","Take advance salary Rs.100,000 (10 months)",Delay Master’s until current loan finished
55,1A,2D,3B,4C,"Standard Plan – Rs.25,000/month (5 years)","Keep minimum repayment, increase lifestyle spending","Take advance salary Rs.100,000 (10 months)",Seek scholarship (minimize loan)
56,1A,2D,3B,4D,"Standard Plan – Rs.25,000/month (5 years)","Keep minimum repayment, increase lifestyle spending","Take advance salary Rs.100,000 (10 months)",Drop plan to avoid over-debt
57,1A,2D,3C,4A,"Standard Plan – Rs.25,000/month (5 years)","Keep minimum repayment, increase lifestyle spending",Skip one month payment,"Take new loan Rs.20,000/month"
58,1A,2D,3C,4B,"Standard Plan – Rs.25,000/month (5 years)","Keep minimum repayment, increase lifestyle spending",Skip one month payment,Delay Master’s until current loan finished
59,1A,2D,3C,4C,"Standard Plan – Rs.25,000/month (5 years)","Keep minimum repayment, increase lifestyle spending",Skip one month payment,Seek scholarship (minimize loan)
60,1A,2D,3C,4D,"Standard Plan – Rs.25,000/month (5 years)","Keep minimum repayment, increase lifestyle spending",Skip one month payment,Drop plan to avoid over-debt
61,1A,2D,3D,4A,"Standard Plan – Rs.25,000/month (5 years)","Keep minimum repayment, increase lifestyle spending",Take new credit card to cover shortfall,"Take new loan Rs.20,000/month"
62,1A,2D,3D,4B,"Standard Plan – Rs.25,000/month (5 years)","Keep minimum repayment, increase lifestyle spending",Take new credit card to cover shortfall,Delay Master’s until current loan finished
63,1A,2D,3D,4C,"Standard Plan – Rs.25,000/month (5 years)","Keep minimum repayment, increase lifestyle spending",Take new credit card to cover shortfall,Seek scholarship (minimize loan)
64,1A,2D,3D,4D,"Standard Plan – Rs.25,000/month (5 years)","Keep minimum repayment, increase lifestyle spending",Take new credit card to cover shortfall,Drop plan to avoid over-debt
65,1B,2A,3A,4A,"Extended Plan – Rs.15,000/month (10 years)","Keep repayment same, save extra","Stick to plan, cut non-essentials","Take new loan Rs.20,000/month"
66,1B,2A,3A,4B,"Extended Plan – Rs.15,000/month (10 years)","Keep repayment same, save extra","Stick to plan, cut non-essentials",Delay Master’s until current loan finished
67,1B,2A,3A,4C,"Extended Plan – Rs.15,000/month (10 years)","Keep repayment same, save extra","Stick to plan, cut non-essentials",Seek scholarship (minimize loan)
68,1B,2A,3A,4D,"Extended Plan – Rs.15,000/month (10 years)","Keep repayment same, save extra","Stick to plan, cut non-essentials",Drop plan to avoid over-debt
69,1B,2A,3B,4A,"Extended Plan – Rs.15,000/month (10 years)","Keep repayment same, save extra","Take advance salary Rs.100,000 (10 months)","Take new loan Rs.20,000/month"
70,1B,2A,3B,4B,"Extended Plan – Rs.15,000/month (10 years)","Keep repayment same, save extra","Take advance salary Rs.100,000 (10 months)",Delay Master’s until current loan finished
71,1B,2A,3B,4C,"Extended Plan – Rs.15,000/month (10 years)","Keep repayment same, save extra","Take advance salary Rs.100,000 (10 months)",Seek scholarship (minimize loan)
72,1B,2A,3B,4D,"Extended Plan – Rs.15,000/month (10 years)","Keep repayment same, save extra","Take advance salary Rs.100,000 (10 months)",Drop plan to avoid over-debt
73,1B,2A,3C,4A,"Extended Plan – Rs.15,000/month (10 years)","Keep repayment same, save extra",Skip one month payment,"Take new loan Rs.20,000/month"
74,1B,2A,3C,4B,"Extended Plan – Rs.15,000/month (10 years)","Keep repayment same, save extra",Skip one month payment,Delay Master’s until current loan finished
75,1B,2A,3C,4C,"Extended Plan – Rs.15,000/month (10 years)","Keep repayment same, save extra",Skip one month payment,Seek scholarship (minimize loan)
76,1B,2A,3C,4D,"Extended Plan – Rs.15,000/month (10 years)","Keep repayment same, save extra",Skip one month payment,Drop plan to avoid over-debt
77,1B,2A,3D,4A,"Extended Plan – Rs.15,000/month (10 years)","Keep repayment same, save extra",Take new credit card to cover shortfall,"Take new loan Rs.20,000/month"
78,1B,2A,3D,4B,"Extended Plan – Rs.15,000/month (10 years)","Keep repayment same, save extra",Take new credit card to cover shortfall,Delay Master’s until current loan finished
79,1B,2A,3D,4C,"Extended Plan – Rs.15,000/month (10 years)","Keep repayment same, save extra",Take new credit card to cover shortfall,Seek scholarship (minimize loan)
80,1B,2A,3D,4D,"Extended Plan – Rs.15,000/month (10 years)","Keep repayment same, save extra",Take new credit card to cover shortfall,Drop plan to avoid over-debt
81,1B,2B,3A,4A,"Extended Plan – Rs.15,000/month (10 years)","Increase repayment (~Rs.40,000), finish early","Stick to plan, cut non-essentials","Take new loan Rs.20,000/month"
82,1B,2B,3A,4B,"Extended Plan – Rs.15,000/month (10 years)","Increase repayment (~Rs.40,000), finish early","Stick to plan, cut non-essentials",Delay Master’s until current loan finished
83,1B,2B,3A,4C,"Extended Plan – Rs.15,000/month (10 years)","Increase repayment (~Rs.40,000), finish early","Stick to plan, cut non-essentials",Seek scholarship (minimize loan)
84,1B,2B,3A,4D,"Extended Plan – Rs.15,000/month (10 years)","Increase repayment (~Rs.40,000), finish early","Stick to plan, cut non-essentials",Drop plan to avoid over-debt
85,1B,2B,3B,4A,"Extended Plan – Rs.15,000/month (10 years)","Increase repayment (~Rs.40,000), finish early","Take advance salary Rs.100,000 (10 months)","Take new loan Rs.20,000/month"
86,1B,2B,3B,4B,"Extended Plan – Rs.15,000/month (10 years)","Increase repayment (~Rs.40,000), finish early","Take advance salary Rs.100,000 (10 months)",Delay Master’s until current loan finished
87,1B,2B,3B,4C,"Extended Plan – Rs.15,000/month (10 years)","Increase repayment (~Rs.40,000), finish early","Take advance salary Rs.100,000 (10 months)",Seek scholarship (minimize loan)
88,1B,2B,3B,4D,"Extended Plan – Rs.15,000/month (10 years)","Increase repayment (~Rs.40,000), finish early","Take advance salary Rs.100,000 (10 months)",Drop plan to avoid over-debt
89,1B,2B,3C,4A,"Extended Plan – Rs.15,000/month (10 years)","Increase repayment (~Rs.40,000), finish early",Skip one month payment,"Take new loan Rs.20,000/month"
90,1B,2B,3C,4B,"Extended Plan – Rs.15,000/month (10 years)","Increase repayment (~Rs.40,000), finish early",Skip one month payment,Delay Master’s until current loan finished
91,1B,2B,3C,4C,"Extended Plan – Rs.15,000/month (10 years)","Increase repayment (~Rs.40,000), finish early",Skip one month payment,Seek scholarship (minimize loan)
92,1B,2B,3C,4D,"Extended Plan – Rs.15,000/month (10 years)","Increase repayment (~Rs.40,000), finish early",Skip one month payment,Drop plan to avoid over-debt
93,1B,2B,3D,4A,"Extended Plan – Rs.15,000/month (10 years)","Increase repayment (~Rs.40,000), finish early",Take new credit card to cover shortfall,"Take new loan Rs.20,000/month"
94,1B,2B,3D,4B,"Extended Plan – Rs.15,000/month (10 years)","Increase repayment (~Rs.40,000), finish early",Take new credit card to cover shortfall,Delay Master’s until current loan finished
95,1B,2B,3D,4C,"Extended Plan – Rs.15,000/month (10 years)","Increase repayment (~Rs.40,000), finish early",Take new credit card to cover shortfall,Seek scholarship (minimize loan)
96,1B,2B,3D,4D,"Extended Plan – Rs.15,000/month (10 years)","Increase repayment (~Rs.40,000), finish early",Take new credit card to cover shortfall,Drop plan to avoid over-debt
97,1B,2C,3A,4A,"Extended Plan – Rs.15,000/month (10 years)",Invest extra @12% (15 years plan),"Stick to plan, cut non-essentials","Take new loan Rs.20,000/month"
98,1B,2C,3A,4B,"Extended Plan – Rs.15,000/month (10 years)",Invest extra @12% (15 years plan),"Stick to plan, cut non-essentials",Delay Master’s until current loan finished
99,1B,2C,3A,4C,"Extended Plan – Rs.15,000/month (10 years)",Invest extra @12% (15 years plan),"Stick to plan, cut non-essentials",Seek scholarship (minimize loan)
100,1B,2C,3A,4D,"Extended Plan – Rs.15,000/month (10 years)",Invest extra @12% (15 years plan),"Stick to plan, cut non-essentials",Drop plan to avoid over-debt
101,1B,2C,3B,4A,"Extended Plan – Rs.15,000/month (10 years)",Invest extra @12% (15 years plan),"Take advance salary Rs.100,000 (10 months)","Take new loan Rs.20,000/month"
102,1B,2C,3B,4B,"Extended Plan – Rs.15,000/month (10 years)",Invest extra @12% (15 years plan),"Take advance salary Rs.100,000 (10 months)",Delay Master’s until current loan finished
103,1B,2C,3B,4C,"Extended Plan – Rs.15,000/month (10 years)",Invest extra @12% (15 years plan),"Take advance salary Rs.100,000 (10 months)",Seek scholarship (minimize loan)
104,1B,2C,3B,4D,"Extended Plan – Rs.15,000/month (10 years)",Invest extra @12% (15 years plan),"Take advance salary Rs.100,000 (10 months)",Drop plan to avoid over-debt
105,1B,2C,3C,4A,"Extended Plan – Rs.15,000/month (10 years)",Invest extra @12% (15 years plan),Skip one month payment,"Take new loan Rs.20,000/month"
106,1B,2C,3C,4B,"Extended Plan – Rs.15,000/month (10 years)",Invest extra @12% (15 years plan),Skip one month payment,Delay Master’s until current loan finished
107,1B,2C,3C,4C,"Extended Plan – Rs.15,000/month (10 years)",Invest extra @12% (15 years plan),Skip one month payment,Seek scholarship (minimize loan)
108,1B,2C,3C,4D,"Extended Plan – Rs.15,000/month (10 years)",Invest extra @12% (15 years plan),Skip one month payment,Drop plan to avoid over-debt
109,1B,2C,3D,4A,"Extended Plan – Rs.15,000/month (10 years)",Invest extra @12% (15 years plan),Take new credit card to cover shortfall,"Take new loan Rs.20,000/month"
110,1B,2C,3D,4B,"Extended Plan – Rs.15,000/month (10 years)",Invest extra @12% (15 years plan),Take new credit card to cover shortfall,Delay Master’s until current loan finished
111,1B,2C,3D,4C,"Extended Plan – Rs.15,000/month (10 years)",Invest extra @12% (15 years plan),Take new credit card to cover shortfall,Seek scholarship (minimize loan)
112,1B,2C,3D,4D,"Extended Plan – Rs.15,000/month (10 years)",Invest extra @12% (15 years plan),Take new credit card to cover shortfall,Drop plan to avoid over-debt
113,1B,2D,3A,4A,"Extended Plan – Rs.15,000/month (10 years)","Keep minimum repayment, increase lifestyle spending","Stick to plan, cut non-essentials","Take new loan Rs.20,000/month"
114,1B,2D,3A,4B,"Extended Plan – Rs.15,000/month (10 years)","Keep minimum repayment, increase lifestyle spending","Stick to plan, cut non-essentials",Delay Master’s until current loan finished
115,1B,2D,3A,4C,"Extended Plan – Rs.15,000/month (10 years)","Keep minimum repayment, increase lifestyle spending","Stick to plan, cut non-essentials",Seek scholarship (minimize loan)
116,1B,2D,3A,4D,"Extended Plan – Rs.15,000/month (10 years)","Keep minimum repayment, increase lifestyle spending","Stick to plan, cut non-essentials",Drop plan to avoid over-debt
117,1B,2D,3B,4A,"Extended Plan – Rs.15,000/month (10 years)","Keep minimum repayment, increase lifestyle spending","Take advance salary Rs.100,000 (10 months)","Take new loan Rs.20,000/month"
118,1B,2D,3B,4B,"Extended Plan – Rs.15,000/month (10 years)","Keep minimum repayment, increase lifestyle spending","Take advance salary Rs.100,000 (10 months)",Delay Master’s until current loan finished
119,1B,2D,3B,4C,"Extended Plan – Rs.15,000/month (10 years)","Keep minimum repayment, increase lifestyle spending","Take advance salary Rs.100,000 (10 months)",Seek scholarship (minimize loan)
120,1B,2D,3B,4D,"Extended Plan – Rs.15,000/month (10 years)","Keep minimum repayment, increase lifestyle spending","Take advance salary Rs.100,000 (10 months)",Drop plan to avoid over-debt
121,1B,2D,3C,4A,"Extended Plan – Rs.15,000/month (10 years)","Keep minimum repayment, increase lifestyle spending",Skip one month payment,"Take new loan Rs.20,000/month"
122,1B,2D,3C,4B,"Extended Plan – Rs.15,000/month (10 years)","Keep minimum repayment, increase lifestyle spending",Skip one month payment,Delay Master’s until current loan finished
123,1B,2D,3C,4C,"Extended Plan – Rs.15,000/month (10 years)","Keep minimum repayment, increase lifestyle spending",Skip one month payment,Seek scholarship (minimize loan)
124,1B,2D,3C,4D,"Extended Plan – Rs.15,000/month (10 years)","Keep minimum repayment, increase lifestyle spending",Skip one month payment,Drop plan to avoid over-debt
125,1B,2D,3D,4A,"Extended Plan – Rs.15,000/month (10 years)","Keep minimum repayment, increase lifestyle spending",Take new credit card to cover shortfall,"Take new loan Rs.20,000/month"
126,1B,2D,3D,4B,"Extended Plan – Rs.15,000/month (10 years)","Keep minimum repayment, increase lifestyle spending",Take new credit card to cover shortfall,Delay Master’s until current loan finished
127,1B,2D,3D,4C,"Extended Plan – Rs.15,000/month (10 years)","Keep minimum repayment, increase lifestyle spending",Take new credit card to cover shortfall,Seek scholarship (minimize loan)
128,1B,2D,3D,4D,"Extended Plan – Rs.15,000/month (10 years)","Keep minimum repayment, increase lifestyle spending",Take new credit card to cover shortfall,Drop plan to avoid over-debt
129,1C,2A,3A,4A,"Extended Plan – Rs.11,000/month (20 years)","Keep repayment same, save extra","Stick to plan, cut non-essentials","Take new loan Rs.20,000/month"
130,1C,2A,3A,4B,"Extended Plan – Rs.11,000/month (20 years)","Keep repayment same, save extra","Stick to plan, cut non-essentials",Delay Master’s until current loan finished
131,1C,2A,3A,4C,"Extended Plan – Rs.11,000/month (20 years)","Keep repayment same, save extra","Stick to plan, cut non-essentials",Seek scholarship (minimize loan)
132,1C,2A,3A,4D,"Extended Plan – Rs.11,000/month (20 years)","Keep repayment same, save extra","Stick to plan, cut non-essentials",Drop plan to avoid over-debt
133,1C,2A,3B,4A,"Extended Plan – Rs.11,000/month (20 years)","Keep repayment same, save extra","Take advance salary Rs.100,000 (10 months)","Take new loan Rs.20,000/month"
134,1C,2A,3B,4B,"Extended Plan – Rs.11,000/month (20 years)","Keep repayment same, save extra","Take advance salary Rs.100,000 (10 months)",Delay Master’s until current loan finished
135,1C,2A,3B,4C,"Extended Plan – Rs.11,000/month (20 years)","Keep repayment same, save extra","Take advance salary Rs.100,000 (10 months)",Seek scholarship (minimize loan)
136,1C,2A,3B,4D,"Extended Plan – Rs.11,000/month (20 years)","Keep repayment same, save extra","Take advance salary Rs.100,000 (10 months)",Drop plan to avoid over-debt
137,1C,2A,3C,4A,"Extended Plan – Rs.11,000/month (20 years)","Keep repayment same, save extra",Skip one month payment,"Take new loan Rs.20,000/month"
138,1C,2A,3C,4B,"Extended Plan – Rs.11,000/month (20 years)","Keep repayment same, save extra",Skip one month payment,Delay Master’s until current loan finished
139,1C,2A,3C,4C,"Extended Plan – Rs.11,000/month (20 years)","Keep repayment same, save extra",Skip one month payment,Seek scholarship (minimize loan)
140,1C,2A,3C,4D,"Extended Plan – Rs.11,000/month (20 years)","Keep repayment same, save extra",Skip one month payment,Drop plan to avoid over-debt
141,1C,2A,3D,4A,"Extended Plan – Rs.11,000/month (20 years)","Keep repayment same, save extra",Take new credit card to cover shortfall,"Take new loan Rs.20,000/month"
142,1C,2A,3D,4B,"Extended Plan – Rs.11,000/month (20 years)","Keep repayment same, save extra",Take new credit card to cover shortfall,Delay Master’s until current loan finished
143,1C,2A,3D,4C,"Extended Plan – Rs.11,000/month (20 years)","Keep repayment same, save extra",Take new credit card to cover shortfall,Seek scholarship (minimize loan)
144,1C,2A,3D,4D,"Extended Plan – Rs.11,000/month (20 years)","Keep repayment same, save extra",Take new credit card to cover shortfall,Drop plan to avoid over-debt
145,1C,2B,3A,4A,"Extended Plan – Rs.11,000/month (20 years)","Increase repayment (~Rs.40,000), finish early","Stick to plan, cut non-essentials","Take new loan Rs.20,000/month"
146,1C,2B,3A,4B,"Extended Plan – Rs.11,000/month (20 years)","Increase repayment (~Rs.40,000), finish early","Stick to plan, cut non-essentials",Delay Master’s until current loan finished
147,1C,2B,3A,4C,"Extended Plan – Rs.11,000/month (20 years)","Increase repayment (~Rs.40,000), finish early","Stick to plan, cut non-essentials",Seek scholarship (minimize loan)
148,1C,2B,3A,4D,"Extended Plan – Rs.11,000/month (20 years)","Increase repayment (~Rs.40,000), finish early","Stick to plan, cut non-essentials",Drop plan to avoid over-debt
149,1C,2B,3B,4A,"Extended Plan – Rs.11,000/month (20 years)","Increase repayment (~Rs.40,000), finish early","Take advance salary Rs.100,000 (10 months)","Take new loan Rs.20,000/month"
150,1C,2B,3B,4B,"Extended Plan – Rs.11,000/month (20 years)","Increase repayment (~Rs.40,000), finish early","Take advance salary Rs.100,000 (10 months)",Delay Master’s until current loan finished
151,1C,2B,3B,4C,"Extended Plan – Rs.11,000/month (20 years)","Increase repayment (~Rs.40,000), finish early","Take advance salary Rs.100,000 (10 months)",Seek scholarship (minimize loan)
152,1C,2B,3B,4D,"Extended Plan – Rs.11,000/month (20 years)","Increase repayment (~Rs.40,000), finish early","Take advance salary Rs.100,000 (10 months)",Drop plan to avoid over-debt
153,1C,2B,3C,4A,"Extended Plan – Rs.11,000/month (20 years)","Increase repayment (~Rs.40,000), finish early",Skip one month payment,"Take new loan Rs.20,000/month"
154,1C,2B,3C,4B,"Extended Plan – Rs.11,000/month (20 years)","Increase repayment (~Rs.40,000), finish early",Skip one month payment,Delay Master’s until current loan finished
155,1C,2B,3C,4C,"Extended Plan – Rs.11,000/month (20 years)","Increase repayment (~Rs.40,000), finish early",Skip one month payment,Seek scholarship (minimize loan)
156,1C,2B,3C,4D,"Extended Plan – Rs.11,000/month (20 years)","Increase repayment (~Rs.40,000), finish early",Skip one month payment,Drop plan to avoid over-debt
157,1C,2B,3D,4A,"Extended Plan – Rs.11,000/month (20 years)","Increase repayment (~Rs.40,000), finish early",Take new credit card to cover shortfall,"Take new loan Rs.20,000/month"
158,1C,2B,3D,4B,"Extended Plan – Rs.11,000/month (20 years)","Increase repayment (~Rs.40,000), finish early",Take new credit card to cover shortfall,Delay Master’s until current loan finished
159,1C,2B,3D,4C,"Extended Plan – Rs.11,000/month (20 years)","Increase repayment (~Rs.40,000), finish early",Take new credit card to cover shortfall,Seek scholarship (minimize loan)
160,1C,2B,3D,4D,"Extended Plan – Rs.11,000/month (20 years)","Increase repayment (~Rs.40,000), finish early",Take new credit card to cover shortfall,Drop plan to avoid over-debt
161,1C,2C,3A,4A,"Extended Plan – Rs.11,000/month (20 years)",Invest extra @12% (15 years plan),"Stick to plan, cut non-essentials","Take new loan Rs.20,000/month"
162,1C,2C,3A,4B,"Extended Plan – Rs.11,000/month (20 years)",Invest extra @12% (15 years plan),"Stick to plan, cut non-essentials",Delay Master’s until current loan finished
163,1C,2C,3A,4C,"Extended Plan – Rs.11,000/month (20 years)",Invest extra @12% (15 years plan),"Stick to plan, cut non-essentials",Seek scholarship (minimize loan)
164,1C,2C,3A,4D,"Extended Plan – Rs.11,000/month (20 years)",Invest extra @12% (15 years plan),"Stick to plan, cut non-essentials",Drop plan to avoid over-debt
165,1C,2C,3B,4A,"Extended Plan – Rs.11,000/month (20 years)",Invest extra @12% (15 years plan),"Take advance salary Rs.100,000 (10 months)","Take new loan Rs.20,000/month"
166,1C,2C,3B,4B,"Extended Plan – Rs.11,000/month (20 years)",Invest extra @12% (15 years plan),"Take advance salary Rs.100,000 (10 months)",Delay Master’s until current loan finished
167,1C,2C,3B,4C,"Extended Plan – Rs.11,000/month (20 years)",Invest extra @12% (15 years plan),"Take advance salary Rs.100,000 (10 months)",Seek scholarship (minimize loan)
